0 48	0 68.760752688172	0 77.4038461538462	0 92.4166666666667	0 69.890625	0 139.064516129032	0 64.2246376811594	0 55.5	0 73.9259259259259	0 156.96875	0 129.323529411765	0 155.396551724138	0 121.916666666667	0 300	0 146.475	0 103.166666666667	0 227.5	0 159.361111111111	0 198.573529411765	0 163.857142857143	0 300	0 117.364583333333	0 218.340579710145	0 167.5	0 125.527777777778	0 105.25	0 104.75	0 300	0 171.375	0 187.006944444444	0 148.923076923077	0 188.763888888889	0 285.875	0 212.5	0 72.5694444444444	0 68.6071428571429	0 109.229166666667	0 98.5166666666667	0 155.035714285714	0 371.53125	0 110.3125	0 300	0 69.4666666666667	0 132.529411764706	0 169.479166666667	0 138.285714285714	0 170.25	0 232.931818181818	0 300
0 53.875	0 83.8602150537634	0 81.25	0 114.911290322581	0 99.8484848484848	0 183.725	0 82.7717391304348	0 70.375	0 80.6833333333333	0 206.34375	0 150.930555555556	0 195.479885057471	0 173.958333333333	0 300	0 184.727272727273	0 131.183333333333	0 267.636363636364	0 187.833333333333	0 247.5	0 218.857142857143	0 300	0 132.229166666667	0 232.445652173913	0 203	0 145.638888888889	0 112.291666666667	0 134.5	0 300	0 199.1875	0 221.545138888889	0 198.346153846154	0 227.6875	0 359.845238095238	0 268.083333333333	0 100.791666666667	0 82.8452380952381	0 140.375	0 126.083333333333	0 202.285714285714	0 459.90625	0 127.967948717949	0 300	0 90.6	0 171.397058823529	0 253.3125	0 166.246031746032	0 207.3125	0 328.818181818182	0 300
0 74.375	0 109.370967741935	0 113.192307692308	0 152.333333333333	0 128.020202020202	0 257.236111111111	0 120.858695652174	0 97.875	0 110.05	0 296.03125	0 219.125	0 282	0 268	0 300	0 312.772727272727	0 186.316666666667	0 430.795454545455	0 271.333333333333	0 384.602941176471	0 327.375	0 300	0 196.703125	0 300.090579710145	0 284.25	0 192.7	0 140.416666666667	0 206	0 300	0 271.75	0 309.083333333333	0 267.903846153846	0 290.038461538462	0 514.39880952381	0 382.416666666667	0 138.041666666667	1 117.214285714286	0 194.5	0 138.916666666667	0 217.642857142857	0 620.40625	0 184.935897435897	0 300	0 153.75	0 250.852941176471	0 265.895833333333	0 237.309523809524	0 279.041666666667	0 458.795454545455	0 300
0 112.25	0 177.147849462366	0 168.442307692308	0 225.290322580645	0 234.856060606061	0 384.408333333333	0 206.072463768116	0 171.75	0 184.975	0 462.722222222222	0 345.166666666667	0 430.5	0 407.333333333333	0 300	0 449.704545454545	0 303.75	0 676	0 462	0 597.029411764706	0 457.53125	0 300	0 288.765625	0 573.221014492754	0 420	0 284.783333333333	0 239.208333333333	0 301	0 300	0 389.25	0 459.184027777778	0 349.25	0 369.1875	0 621.535714285714	0 467.916666666667	0 193.666666666667	0 199.535714285714	0 274.625	1 175.683333333333	0 268.357142857143	0 749.5625	0 252.451388888889	0 300	0 249.85	0 390.138888888889	0 313.104166666667	0 343.964285714286	0 407.479166666667	0 609.613636363636	0 300
0 193.625	0 242.838709677419	0 235.346153846154	0 330.346774193548	0 340.032828282828	0 615.3	0 303.123188405797	0 290.5	0 304.925	0 745.5625	0 532.12037037037	0 701.706896551724	0 631.5	0 300	0 724.5	0 455.322222222222	0 970.090909090909	0 644.444444444444	0 801	0 651.395833333333	0 300	0 397.558823529412	0 536.70652173913	0 562.477272727273	0 413.85	0 348.666666666667	0 468	0 300	0 493	0 564	0 382.519230769231	0 378.25	0 711.089285714286	0 512.5	0 247.041666666667	0 308.107142857143	0 353.520833333333	0 208.85	0 266.607142857143	0 899.78125	0 271.833333333333	0 300	0 359.1	0 568.625	0 447.104166666667	0 476.416666666667	0 536.0625	0 797.181818181818	0 300
0 111.75	0 143.129032258065	0 151.846153846154	0 199.129032258065	0 194.340909090909	0 333.258333333333	0 162.510869565217	0 164.375	0 177.283333333333	0 356.555555555556	0 308.708333333333	0 418.939655172414	0 381.291666666667	0 300	0 361.7	0 228.716666666667	0 530.886363636364	0 363.333333333333	0 483.308823529412	0 407.375	0 300	0 228.632352941176	0 347.193181818182	0 336.75	0 247.5	0 208.958333333333	0 269	0 300	0 333	0 399.46875	0 302.942307692308	0 337.083333333333	0 540.196428571429	0 418.833333333333	0 154.458333333333	0 144.714285714286	0 208.9375	0 165.733333333333	0 214.25	0 670.65625	0 230.541666666667	0 300	0 219.05	0 352.705882352941	0 290.395833333333	0 310.904761904762	0 379.958333333333	0 555.545454545455	0 300
0 69.375	0 102.532258064516	0 109.692307692308	0 171.425	0 151.075757575758	0 262.9	0 120.083333333333	0 83.125	0 101.55	0 269.375	0 241.444444444444	0 294.973214285714	0 290.833333333333	0 300	0 267.75	0 172.183333333333	0 367.363636363636	0 282.027777777778	0 397.102941176471	0 341.895833333333	0 300	0 182.955882352941	0 350.347826086957	0 300.068181818182	0 214.575	0 166.458333333333	0 224	0 300	0 295	0 324.684782608696	0 273.442307692308	0 303.846153846154	0 528.714285714286	0 364.583333333333	0 115.833333333333	0 139.595238095238	0 167.3125	0 147.416666666667	0 208.5	0 632.71875	0 208.339743589744	0 300	0 141.7	0 245.013888888889	0 274.9375	0 286.559523809524	0 351.083333333333	0 475.204545454545	0 300
0 122.125	0 154.209677419355	0 157.980769230769	0 245.666666666667	0 223.816176470588	0 393.005555555556	0 174.217391304348	0 127.666666666667	0 180.658333333333	0 442.53125	0 359.236111111111	0 441.931034482759	0 417.125	0 300	0 427.681818181818	0 260.683333333333	0 598.863636363636	0 429.166666666667	0 536.194444444444	0 467.125	0 300	0 262.869791666667	1 421.032608695652	0 402.590909090909	0 284.9	0 236.833333333333	0 259	0 300	0 440.5	0 453.78125	0 363.038461538462	0 372.955128205128	0 625.910714285714	0 497	0 158.708333333333	0 193.75	0 235.291666666667	0 184.733333333333	0 251.357142857143	0 759.90625	0 251.096153846154	0 300	0 198	0 350.986111111111	0 411.208333333333	0 347.952380952381	0 423.854166666667	0 628.204545454545	0 300
0 160.125	0 201.604838709677	0 193.038461538462	0 314.443548387097	0 294.560606060606	0 502.633333333333	0 238.268115942029	0 157.583333333333	0 234.575	0 593.5	0 456.955882352941	0 581.588888888889	0 540	0 300	0 612	0 362.066666666667	0 1073.22727272727	0 606.222222222222	0 794.558823529412	0 610.5625	0 300	0 340.140625	0 630.170454545455	0 527.045454545455	0 400.05	0 319	0 402	0 300	0 558.5	0 609.15625	0 462.980769230769	0 477.730769230769	0 827.660714285714	0 654.583333333333	0 233.666666666667	0 268.571428571429	0 312.458333333333	0 216.683333333333	0 300.285714285714	0 1026.0625	1 320.807692307692	0 300	0 306.95	0 511.588235294118	0 464.541666666667	0 502.833333333333	0 597.9375	0 871.272727272727	0 300
0 145.5	0 216.540322580645	0 218.730769230769	0 335.032258064516	0 288.69696969697	0 542.494444444444	0 247.304347826087	0 186.666666666667	0 281.025	0 614.5	0 509.544117647059	0 639.827586206897	0 602.5	0 300	0 697.409090909091	0 408.1	0 1134.65909090909	0 649.444444444444	0 838.647058823529	0 672.90625	0 300	0 371.9375	0 698.136363636364	0 633.431818181818	0 466.425	0 352.833333333333	0 461	0 300	0 607.8125	0 683.270833333333	0 557.346153846154	0 555.730769230769	0 960.928571428571	0 794.5	0 266	0 279.214285714286	0 378.0625	0 236.196428571429	0 357.428571428571	0 1187.125	0 381.678571428571	0 300	0 344.15	0 580.722222222222	0 509.520833333333	0 578.357142857143	0 672.5625	0 960.363636363636	0 300
