"","Direcciones","lat","lon"
"114","CAMINO DE LOS INGENIEROS NUM 1 MADRID",40.3876599,-3.74542
"115","AVENIDA DEL MEDITERRANEO NUM 16 MADRID",40.4070263,-3.6759117
"116","CALLE  30  XC KM. 10700 MADRID",40.3917495,-3.6748806
"117","CALLE  30 NC KM. 15600 MADRID",40.3917495,-3.6748806
"118","CALLE DE ALFONSO XII NUM 3 MADRID",40.4072656,-3.6860577
"119","AVENIDA DE LA CIUDAD DE BARCELONA NUM 1 MADRID",40.4060962,-3.6841878
"120","AVENIDA DE MONFORTE DE LEMOS NUM 185 MADRID",40.47617,-3.7181881
"121","CALLE DE SERRANO NUM 219 MADRID",40.4545771,-3.6782659
"122","PASEO DE RECOLETOS NUM 16 MADRID",40.4226066,-3.6910073
"123","CALLE DE JAIME EL CONQUISTADOR NUM 38 MADRID",40.3956916,-3.6984619
"124","CALLE DE LA CONDESA DE VENADITO NUM 7 MADRID",40.4450554,-3.6529788
"125","CALLE DE VIRIDIANA NUM 14 MADRID",40.377784,-3.6553254
"126","CALLE DE FERRAZ NUM 42 MADRID",40.4267103,-3.7175497
"127","PASEO DE LA CASTELLANA NUM 89 MADRID",40.4499767,-3.6916087
"128","CALLE DE CEBREROS NUM 72 MADRID",40.4054463,-3.7479714
"129","PASEO DE PONTONES NUM 18 MADRID",40.4044944,-3.7173544
"130","CALLE DE LA RIBERA DEL MANZANARES NUM 31 MADRID",40.4233444,-3.7259313
"131","CALLE  30  15RA KM. 30 MADRID",40.3917495,-3.6748806
"132","CALLE DE ANTONIO MAURA NUM 5 MADRID",40.4167081,-3.6910361
"133","CALLE DEL ARQUITECTO LOPEZ OTERO NUM 1 MADRID",40.4432824,-3.7286742
"134","CALLE DE ANOETA NUM 25 MADRID",40.3524574,-3.6979049
"135","CALLE DE NICOLAS SALMERON NUM 10 MADRID",40.417823,-3.627438
"136","AVENIDA DE PABLO NERUDA NUM 102 MADRID",40.3832525,-3.6490004
"137","PASEO DE SANTA MARIA DE LA CABEZA NUM 57 MADRID",40.4002537,-3.6996234
"138","CALLE  GRAN VIA NUM 27 MADRID",40.4198704,-3.7027218
"139","CALLE DE SABADELL NUM 86 MADRID",40.4914238,-3.6968235
"140","PLAZA DE LA INDEPENDENCIA NUM 10 MADRID",40.4195504,-3.6894737
"141","CALLE DE SINESIO DELGADO NUM 1 MADRID",40.4740689,-3.6878871
"142","CAMINO DE LA ZARZUELA NUM 26 MADRID",40.4657823,-3.7870678
"143","AVENIDA DE ALBERTO ALCOCER NUM 40 MADRID",40.4583667,-3.6812903
"144","CALLE DEL DOCTOR ESQUERDO NUM 39 MADRID",40.4242022,-3.6683845
"145","AVENIDA DE RAFAELA YBARRA NUM 74 MADRID",40.37188,-3.71258
"146","CALLE DEL PRINCIPE DE VERGARA NUM 273 MADRID",40.4578017,-3.677239
"147","PASEO DE LA CASTELLANA NUM 78 MADRID",40.4391067,-3.6905607
"148","CALLE DE ATOCHA NUM 110 MADRID",40.409597,-3.6936573
"149","CALLE DE JOSE ORTEGA Y GASSET NUM 53 MADRID",40.430124,-3.677015
"150","CALLE DEL GENERAL RICARDOS NUM 101 MADRID",40.3926618,-3.7247472
"151","CALLE DEL FERROCARRIL NUM 15 MADRID",40.4006761,-3.6955433
"152","CALLE DEL GENERAL RICARDOS NUM 147 MADRID",40.3894246,-3.7301219
"153","PASEO DE EXTREMADURA KM. 6600 MADRID",40.3963208,-3.7682951
"154","CALLE  30 NC KM. 18100 MADRID",40.3917495,-3.6748806
"155","CALLE DE FRANCOS RODRIGUEZ NUM 92 MADRID",40.457809,-3.7115079
"156","PASEO DE RECOLETOS NUM 21 MADRID",40.4223074,-3.6923765
"157","CALLE DE GENOVA NUM 23 MADRID",40.4263673,-3.6926968
"158","AVENIDA DE PUERTA DE HIERRO KM. 5800 MADRID",40.4455511,-3.7344612
"159","CALLE DE ALCALA NUM 45 MADRID",40.419184,-3.6962013
"160","CALLE DE MOREJA NUM 26 MADRID",40.3688132,-3.6983229
"161","PASEO DE EXTREMADURA KM. 6500 MADRID",40.3963208,-3.7682951
"162","AVENIDA DE JUAN DE HERRERA NUM 4 MADRID",40.4397828,-3.731133
"163","CALLE DE LA HACIENDA DE PAVONES NUM 15 MADRID",40.4047013,-3.648784
"164","GLORIETA DE BILBAO NUM 7 MADRID",40.4287137,-3.7019997
"165","PASEO DE EXTREMADURA KM. 7300 MADRID",40.3963208,-3.7682951
"166","PASEO DE LA CASTELLANA NUM 141 MADRID",40.4598677,-3.6906837
"167","AVENIDA DE LA VICTORIA NUM 134 MADRID",40.4742729,-3.8342155
"168","CALLE DE JOSE ABASCAL NUM 58 MADRID",40.4378534,-3.6916535
"169","CALLE DE LAS VIRTUDES NUM 13 MADRID",40.4376855,-3.6987578
"170","CALLE DEL DOCTOR TOLOSA LATOUR NUM 7 MADRID",40.3752493,-3.7022379
