"","lon","lat"
"89",-3.70429,40.484507
"90",-3.6509258,40.4936236
"91",-3.631537,40.3693824
"92",-3.6785149,40.4181604
"93",-3.7236169,40.432438
"94",-3.6693097,40.3963665
"95",-3.59316,40.49218
"96",-3.6723433,40.3897889
"97",-3.6608154,40.4527622
"98",-3.7424576,40.406575
"99",-3.6809898,40.4583585
"100",-3.6955671,40.4286654
"101",-3.7112756,40.4742728
"102",-3.7032378,40.3879539
"103",-3.6481374,40.4221075
"104",-3.68967,40.43773
"105",-3.6854187,40.4672885
"106",-3.7380337,40.4110801
"107",-3.7142857,40.4379665
"108",-3.7137999,40.4011668
"109",-3.6731384,40.4339097
"110",-3.7086485,40.4589263
"111",-3.712806,40.4079312
"112",-3.6999299,40.4386062
"113",-3.6900477,40.4292448
"114",-3.693661,40.4307406
"115",-3.755858,40.3934607
"116",-3.6755004,40.4359052
"117",-3.6942707,40.3963775
"118",-3.6823306,40.442759
"119",-3.6385907,40.4374448
"120",-3.7256443,40.4009042
"121",-3.6874141,40.3541136
"122",-3.7079242,40.4386468
"123",-3.7027594,40.3974952
"124",-3.6963731,40.4290185
"125",-3.6184389,40.4166133
"126",-3.6905201,40.4278562
"127",-3.6510502,40.4411241
"128",-3.7207544,40.3682165
"129",-3.658425,40.4810527
"130",-3.6738146,40.4588253
"131",-3.6665421,40.405764
"132",-3.7004416,40.4000595
"133",-3.667015,40.4173954
"134",-3.7130393,40.4713258
"135",-3.6896112,40.4196683
"136",-3.6015919,40.4698702
"137",-3.6638822,40.4348692
"138",-3.6772961,40.3507521
"139",-3.6987268,40.3852094
"140",-3.6844995,40.4152606
"141",-3.71291,40.3965687
"142",-3.6429876,40.4376412
"143",-3.7273994,40.4104253
"144",-3.7091816,40.4524445
"145",-3.6217529,40.3917966
"146",-3.7097586,40.4509444
"147",-3.6896679,40.4557371
"148",-3.6957824,40.4815922
"149",-3.7197901,40.4785493
"150",-3.7121344,40.4466681
"151",-3.6830887,40.4074444
"152",-3.6672742,40.3998798
"153",-3.6548048,40.4397429
"154",-3.6890277,40.4084786
"155",-3.7183801,40.4383612
"156",-3.6683802,40.4811694
"157",-3.6564717,40.4469648
"158",-3.6665421,40.405764
"159",-3.6133263,40.4377537
"160",-3.6236119,40.4408171
"161",-3.6502311,40.4711532
"162",-3.6646324,40.5134442
"163",-3.6760108,40.4601449
"164",-3.7682951,40.3963208
"165",-3.8142951,40.4668581
"166",-3.7135317,40.4324009
"167",-3.6067156,40.3994486
"168",-3.6944375,40.4142109
"169",-3.6591362,40.4766431
"170",-3.6329423,40.4318775
"171",-3.5787779,40.4679359
"172",-3.6733594,40.5145705
"173",-3.6863923,40.4684754
"174",-3.689638,40.4381476
"175",-3.7061905,40.3692286
"176",-3.6987203,40.4385556
"177",-3.6628632,40.4315811
